dma1_name,sales1_name,chan1_name,chan2_name,chan3_name,all_name,max,cpp,hl,hrf,wks,beta,curvegroup_name,factor_1
TRI-STATE-NY/NJ/CT,Existing Loyal KC,Tab,Weekend,Weekend,overall,5018552.58,0.036151926,0,0.05,1,4666885.429,weekly,135.2337552
SAN FRANCISCO-CA,New Loyal KC,Network TV,Network TV,Network TV,overall,7236891.797,0.027037825,5,0.75,1,1102.69932,weekly,182.328063
SAN FRANCISCO-CA,New Loyal NKC,Network TV,Network TV,Network TV,overall,7236891.797,0.027037825,5,0.15,1,3567.158814,weekly,128.3107102
SAN FRANCISCO-CA,New Non-Loyal KC,Network TV,Network TV,Network TV,overall,7236891.797,0.027037825,5,0.15,1,10368.27093,weekly,182.1351434
SAN FRANCISCO-CA,New Non-Loyal NKC,Network TV,Network TV,Network TV,overall,7236891.797,0.027037825,0.6,0.05,1,91817.06341,weekly,152.3285896
SAN FRANCISCO-CA,Existing Non-Loyal NKC,Network TV,Network TV,Network TV,overall,7236891.797,0.027037825,1,0.75,1,19714.24707,weekly,110.4981476
SAN FRANCISCO-CA,Existing Non-Loyal KC,Network TV,Network TV,Network TV,overall,7236891.797,0.027037825,1,0.75,1,47190.25821,weekly,119.7914466
SAN FRANCISCO-CA,Existing Loyal NKC,Network TV,Network TV,Network TV,overall,7236891.797,0.027037825,0.6,0.75,1,70726.43333,weekly,101.7265371
SAN FRANCISCO-CA,Existing Loyal KC,Network TV,Network TV,Network TV,overall,7236891.797,0.027037825,0.6,0.6,1,238954.1492,weekly,117.4054609
DALLAS-TX,New Loyal KC,Network TV,Network TV,Network TV,overall,7215131.865,0.027037825,5,0.75,1,1349.963689,weekly,187.8239428
DALLAS-TX,New Loyal NKC,Network TV,Network TV,Network TV,overall,7215131.865,0.027037825,5,0.15,1,3963.625672,weekly,120.468863
DALLAS-TX,New Non-Loyal KC,Network TV,Network TV,Network TV,overall,7215131.865,0.027037825,5,0.15,1,10383.24057,weekly,197.6148134
DALLAS-TX,New Non-Loyal NKC,Network TV,Network TV,Network TV,overall,7215131.865,0.027037825,0.6,0.05,1,109417.8442,weekly,139.3310709
DALLAS-TX,Existing Non-Loyal NKC,Network TV,Network TV,Network TV,overall,7215131.865,0.027037825,1,0.75,1,44349.24874,weekly,110.2528959
DALLAS-TX,Existing Non-Loyal KC,Network TV,Network TV,Network TV,overall,7215131.865,0.027037825,1,0.75,1,53394.37912,weekly,133.9008452
DALLAS-TX,Existing Loyal NKC,Network TV,Network TV,Network TV,overall,7215131.865,0.027037825,0.6,0.75,1,105464.401,weekly,104.8782913
DALLAS-TX,Existing Loyal KC,Network TV,Network TV,Network TV,overall,7215131.865,0.027037825,0.6,0.6,1,337547.2401,weekly,129.5476111
WASHINGTON D.C.,New Loyal KC,Network TV,Network TV,Network TV,overall,6673830.692,0.027037825,5,0.75,1,872.9110681,weekly,195.3263906
WASHINGTON D.C.,New Loyal NKC,Network TV,Network TV,Network TV,overall,6673830.692,0.027037825,5,0.15,1,1988.224699,weekly,127.6199232
WASHINGTON D.C.,New Non-Loyal KC,Network TV,Network TV,Network TV,overall,6673830.692,0.027037825,5,0.15,1,12320.59533,weekly,191.954988
WASHINGTON D.C.,New Non-Loyal NKC,Network TV,Network TV,Network TV,overall,6673830.692,0.027037825,0.6,0.05,1,103475.8965,weekly,140.5911512
WASHINGTON D.C.,Existing Non-Loyal NKC,Network TV,Network TV,Network TV,overall,6673830.692,0.027037825,1,0.75,1,61515.89718,weekly,114.5405899
WASHINGTON D.C.,Existing Loyal NKC,Network TV,Network TV,Network TV,overall,6673830.692,0.027037825,0.6,0.75,1,90375.50963,weekly,110.4603628
WASHINGTON D.C.,Existing Non-Loyal KC,Network TV,Network TV,Network TV,overall,6673830.692,0.027037825,1,0.75,1,171643.4924,weekly,136.7483889
WASHINGTON D.C.,Existing Loyal KC,Network TV,Network TV,Network TV,overall,6673830.692,0.027037825,0.6,0.6,1,209649.9645,weekly,135.0830319
BOSTON-MA,New Loyal KC,Network TV,Network TV,Network TV,overall,6498850.827,0.027037825,5,0.75,1,821.4549275,weekly,187.8644845
BOSTON-MA,New Loyal NKC,Network TV,Network TV,Network TV,overall,6498850.827,0.027037825,5,0.15,1,1921.786993,weekly,124.0503709
BOSTON-MA,New Non-Loyal KC,Network TV,Network TV,Network TV,overall,6498850.827,0.027037825,5,0.15,1,14666.73758,weekly,185.6680287
BOSTON-MA,New Non-Loyal NKC,Network TV,Network TV,Network TV,overall,6498850.827,0.027037825,0.6,0.05,1,88633.89213,weekly,143.2434584
BOSTON-MA,Existing Non-Loyal NKC,Network TV,Network TV,Network TV,overall,6498850.827,0.027037825,1,0.75,1,51724.78134,weekly,115.2392649
BOSTON-MA,Existing Loyal NKC,Network TV,Network TV,Network TV,overall,6498850.827,0.027037825,0.6,0.75,1,118943.4182,weekly,112.3589953
BOSTON-MA,Existing Non-Loyal KC,Network TV,Network TV,Network TV,overall,6498850.827,0.027037825,1,0.75,1,194778.2381,weekly,131.4765673
BOSTON-MA,Existing Loyal KC,Network TV,Network TV,Network TV,overall,6498850.827,0.027037825,0.6,0.6,1,257880.4213,weekly,133.576272
ATLANTA-GA,New Loyal KC,Network TV,Network TV,Network TV,overall,6494319.992,0.027037825,5,0.75,1,985.5084013,weekly,194.1028476
ATLANTA-GA,New Loyal NKC,Network TV,Network TV,Network TV,overall,6494319.992,0.027037825,5,0.15,1,1814.077138,weekly,112.2285494
ATLANTA-GA,New Non-Loyal KC,Network TV,Network TV,Network TV,overall,6494319.992,0.027037825,5,0.15,1,11719.06246,weekly,185.5761774
ATLANTA-GA,New Non-Loyal NKC,Network TV,Network TV,Network TV,overall,6494319.992,0.027037825,0.6,0.05,1,103876.1594,weekly,131.1014052
ATLANTA-GA,Existing Loyal NKC,Network TV,Network TV,Network TV,overall,6494319.992,0.027037825,0.6,0.75,1,54735.02411,weekly,101.5408225
ATLANTA-GA,Existing Non-Loyal NKC,Network TV,Network TV,Network TV,overall,6494319.992,0.027037825,1,0.75,1,64975.31787,weekly,104.6290652
ATLANTA-GA,Existing Non-Loyal KC,Network TV,Network TV,Network TV,overall,6494319.992,0.027037825,1,0.75,1,146726.207,weekly,128.6403181
ATLANTA-GA,Existing Loyal KC,Network TV,Network TV,Network TV,overall,6494319.992,0.027037825,0.6,0.6,1,182030.8993,weekly,124.4299178
HOUSTON-TX,New Loyal KC,Network TV,Network TV,Network TV,overall,6430219.159,0.027037825,5,0.75,1,1124.86026,weekly,186.8618161
HOUSTON-TX,New Loyal NKC,Network TV,Network TV,Network TV,overall,6430219.159,0.027037825,5,0.15,1,2975.822817,weekly,125.8657907
HOUSTON-TX,New Non-Loyal KC,Network TV,Network TV,Network TV,overall,6430219.159,0.027037825,5,0.15,1,8735.67209,weekly,195.7102415
HOUSTON-TX,New Non-Loyal NKC,Network TV,Network TV,Network TV,overall,6430219.159,0.027037825,0.6,0.05,1,86234.77021,weekly,141.1629998
HOUSTON-TX,Existing Non-Loyal NKC,Network TV,Network TV,Network TV,overall,6430219.159,0.027037825,1,0.75,1,30336.44032,weekly,112.4689702
HOUSTON-TX,Existing Non-Loyal KC,Network TV,Network TV,Network TV,overall,6430219.159,0.027037825,1,0.75,1,37503.09288,weekly,133.6846933
